PRT_ID;AREA;INT_SQFT;DIST_MAINROAD;N_BEDROOM;N_BATHROOM;N_ROOM;SALE_COND;PARK_FACIL;DATE_BUILD;BUILDTYPE;UTILITY_AVAIL;STREET;MZZONE;QS_ROOMS;QS_BATHROOM;QS_BEDROOM;QS_OVERALL
P07720;Adyar;691;76;1;1;2;Family;No;29/08/1977;House;ELO;No Access;RH;3.8;2.3;4.2;3.7
P07684;KK Nagar;2419;180;4;2;6;AdjLand;Yes;09/09/1987;Others;NoSewr ;Paved;RM;2.7;3.1;3.7;3.22
P05936;Velachery;1674;2;2;1;4;AdjLand;No;01/12/1985;Commercial;AllPub;No Access;I;3.7;4.6;4.7;4.41
P02194;Karapakkam;1088;178;1;1;3;Family;No;25/11/1979;Others;NoSeWa;Paved;RH;4.1;2.7;4.3;3.76
P01673;Chrompet;996;104;1;1;3;AbNormal;Yes;01/03/2005;Others;ELO;No Access;RH;2.7;2.8;2.2;2.59
P09279;Adyar;905;86;1;1;3;Family;Yes;11/02/1973;Commercial;NoSeWa;No Access;I;2.1;2.3;2.5;2.34
P03033;Velachery;1616;33;2;1;4;Normal Sale;Yes;23/06/1958;House;NoSeWa;Paved;RM;5;3.6;2.8;3.71
P07163;T Nagar;1621;101;1;1;4;AbNormal;No;15/02/1964;Others;AllPub;Paved;RM;3.4;3.4;3;3.22
P04744;Velachery;1583;47;2;1;4;Normal Sale;No;10/07/1990;Others;NoSeWa;No Access;RM;4.9;4.7;3.5;4.39
P07946;Chrompet;942;74;1;1;3;Normal Sale;No;21/06/1982;Others;ELO;Paved;RH;2.8;3.7;3.4;3.34
P08877;Adyar;973;15;1;1;3;Family;Yes;20/07/1972;Commercial;NoSewr ;Gravel;A;3.9;4.2;2.8;3.41
P00758;Chrompet;1027;94;1;1;3;AdjLand;No;23/08/1985;Commercial;AllPub;No Access;RL;5;2.8;2.1;3.25
P06855;Chrompet;1174;22;1;1;3;Normal Sale;No;11/05/1984;Commercial;NoSeWa;Gravel;RH;3.9;3.4;3.7;3.64
P01155;Anna Nagar;1666;173;1;1;4;Partial;No;01/12/1988;House;AllPub;Gravel;RL;4.2;3.8;3.6;3.86
P02401;Velachery;1861;182;3;2;5;Normal Sale;Yes;16/10/1991;House;NoSeWa;No Access;C;2.4;2.9;4.2;3.17
P04599;Chrompet;912;199;1;1;3;Family;Yes;09/08/1984;Commercial;AllPub;Paved;RH;4.7;3.4;2.6;3.55
P00351;Chrompet;1114;106;1;1;3;Partial;No;21/06/1976;House;AllPub;Gravel;RM;2.6;3;4.3;3.27
P07446;Anna Nagar;1765;97;1;1;4;Family;No;17/11/1971;Commercial;AllPub;Gravel;RM;3;4.4;3.3;3.47
P08047;Adyar;947;151;1;1;3;AdjLand;Yes;15/05/1994;House;ELO;No Access;RL;2;4.4;2;2.48
P06130;Karapakkam;520;60;1;1;2;Partial;No;21/10/1990;Commercial;NoSewr ;Gravel;C;2.4;4.9;2.6;3.23
P08676;Anna Nagar;1533;70;1;1;4;AdjLand;Yes;02/10/1978;Others;NoSewr ;Gravel;RM;4.2;4.7;4.5;4.445
P07695;Velachery;1904;175;3;2;5;AdjLand;Yes;08/09/1972;Commercial;NoSewr ;Gravel;C;4;4.7;3.1;4.05
P01753;Karapakkam;1045;59;1;1;3;Normal Sale;No;21/02/1977;House;NoSeWa;No Access;A;4.6;4.5;4.7;4.61
P03113;Karapakkam;1409;116;2;2;4;Normal Sale;Yes;27/05/1996;Others;ELO;Gravel;RH;3.8;3.1;4.8;3.99
P05841;Chrompet;1089;12;1;1;3;Normal Sale;No;17/12/1990;Commercial;NoSeWa;Gravel;RL;2.5;4.8;2.6;3.45
P04733;Chrompet;787;147;1;1;2;Partial;Yes;16/07/1979;Commercial;ELO;Gravel;RM;3.9;3.8;2.2;3.35
P03583;Karapakkam;1028;57;1;1;3;AbNormal;Yes;01/03/1981;Commercial;NoSeWa;Paved;C;3.8;2.1;4.4;3.53
P01988;Karapakkam;1068;171;1;1;3;Family;No;07/01/1985;Others;ELO;Paved;RL;4.2;3.3;4.2;3.93
P07353;Chrompet;1124;141;1;1;3;Normal Sale;No;22/12/1968;Others;NoSewr ;Paved;RH;2.7;2.7;3.5;2.94
P02536;Adyar;990;191;1;1;3;AbNormal;No;23/09/1977;Commercial;NoSewr ;Paved;C;2.9;3.5;2.8;2.97
P04468;Karapakkam;542;127;1;1;2;Normal Sale;Yes;31/08/1984;Commercial;NoSewr ;Paved;RL;3.4;3.2;2.4;2.94
P04845;Adyar;706;177;1;1;2;Family;No;28/06/1972;Commercial;ELO;Paved;RH;4.2;2.2;3.2;3.3
P03203;Chrompet;1074;6;1;1;3;AdjLand;Yes;09/05/1999;House;NoSewr ;Paved;RH;3;3.7;3.9;3.55
P06085;KK Nagar;2255;181;4;2;6;Normal Sale;No;31/10/1995;Commercial;AllPub;Paved;RH;3.1;2.9;3;3
P03472;Chrompet;858;96;1;1;3;AbNormal;Yes;25/03/1992;Others;ELO;Gravel;RH;4.1;4.9;4.1;4.42
P05450;Karapakkam;1208;83;1;1;3;Family;Yes;24/02/1998;Commercial;AllPub;Paved;RM;2.6;4.3;3.3;3.39
P05002;KK Nagar;1307;88;1;1;3;Partial;Yes;22/05/1998;Others;NoSeWa;Gravel;RH;4;4.6;2.6;3.62
P02090;T Nagar;1934;183;2;1;5;AbNormal;No;18/12/1985;House;NoSewr ;Gravel;RM;4.6;3.2;4.6;4.25
P07524;Chrompet;1219;159;2;1;4;Partial;No;23/10/1972;House;NoSewr ;Gravel;RM;3.4;2.7;3.9;3.27
P01474;Chrompet;918;7;1;1;3;Partial;Yes;18/04/1999;Others;ELO;Paved;RH;2.2;4.7;4.2;3.8
P00702;T Nagar;1626;170;1;1;4;Family;Yes;10/10/1988;Commercial;AllPub;No Access;RH;3;3.9;3.1;3.27
P05697;Karapakkam;847;36;1;1;2;Family;Yes;17/01/1980;House;NoSeWa;No Access;RM;2.7;2.5;3.5;2.96
P01982;Adyar;685;83;1;1;2;Partial;No;05/01/2002;Others;NoSeWa;Paved;I;2.9;3.6;2.7;2.94
P00800;Chrompet;1211;12;2;1;4;Normal Sale;No;18/07/1996;Others;NoSewr ;Gravel;RL;4.3;2.9;2.6;3.23
P03793;KK Nagar;2428;108;4;2;6;Family;No;17/01/1984;House;NoSewr ;Gravel;RM;4.3;2.1;4.9;3.88
P09001;Chrompet;1109;48;1;1;3;AdjLand;No;22/05/1989;House;ELO;Paved;RL;2.2;3;4.3;3.15
P03573;KK Nagar;1407;28;2;1;4;AbNormal;No;27/02/2006;Others;NoSewr ;Gravel;RH;2.5;3.3;4.5;3.54
P04291;T Nagar;1517;131;1;1;4;AdjLand;Yes;10/10/1967;Commercial;AllPub;Gravel;RM;4;4.4;3.6;3.92
P01009;Chrompet;1101;30;1;1;3;Family;No;12/03/1973;House;ELO;Gravel;RM;4.4;3.1;2.2;3.22
P06168;Karapakkam;1252;47;1;1;3;AbNormal;Yes;13/10/1999;Others;ELO;Gravel;RM;2.9;4.9;2.5;3.34
P04715;Karapakkam;829;146;1;1;2;AdjLand;Yes;14/07/2002;Commercial;NoSewr ;Gravel;C;4.3;3.3;3;3.48
P08165;T Nagar;1646;45;1;1;4;Normal Sale;No;15/04/1964;Others;NoSeWa;Gravel;RL;2.1;2.4;2.8;2.49
P07209;Anna Nagar;1908;164;2;1;5;AdjLand;No;26/01/1989;House;AllPub;No Access;RH;2;3.5;4.7;3.455
P09740;Velachery;1938;5;3;2;5;AdjLand;No;17/10/1971;House;AllPub;Gravel;RM;2.8;3.7;3.5;3.42
P03534;Karapakkam;1057;187;1;1;3;AdjLand;No;17/03/1965;Commercial;NoSewr ;Paved;RH;3.8;3.5;4.2;3.87
P01110;Chrompet;1213;142;2;1;4;Partial;Yes;19/12/2005;Others;NoSewr ;No Access;RL;4.7;4.4;4.6;4.55
P05877;Chrompet;813;169;1;1;3;Normal Sale;Yes;15/12/1975;Others;AllPub;No Access;RM;2.8;4;4.8;3.88
P01999;Anna Nagar;1976;112;2;1;5;Partial;No;10/01/1972;House;NoSeWa;Paved;RL;5;2.9;2.2;3.355
P06369;Adyar;919;111;1;1;3;Family;Yes;06/09/2000;Others;AllPub;No Access;RH;3;3.4;4.9;4.03
P09887;Velachery;1774;190;2;1;4;Family;No;16/12/1985;Commercial;ELO;Gravel;I;3.8;4.5;2.2;3.64
P06347;KK Nagar;2500;137;4;2;6;AbNormal;No;18/09/1979;House;NoSewr ;Paved;RM;3.6;3.7;2.1;3.03
P02698;Anna Nagar;1510;196;1;1;4;Normal Sale;No;24/08/1972;Others;NoSeWa;Paved;RH;4.1;4.6;3;
P07361;KK Nagar;1524;61;2;1;4;AdjLand;No;14/12/1991;Others;AllPub;Gravel;RH;4.2;3.6;3.6;3.78
P06481;Karapakkam;1554;89;2;2;4;Partial;No;18/08/1973;Commercial;NoSeWa;Gravel;I;2.5;2.7;4.7;3.44
P04114;Karapakkam;1116;10;1;1;3;AdjLand;No;08/11/1990;Other;AllPub;No Access;C;4.2;4.8;5;4.7
P01728;Karapakkam;929;14;1;1;3;AbNormal;No;20/02/2003;Commercial;ELO;Paved;I;3.2;4.4;3.5;3.68
P09839;Velachery;1864;187;3;2;5;Partial;No;22/03/1982;Commercial;ELO;Gravel;RH;3.2;4.6;2.8;3.71
P06489;Karapakkam;500;113;1;1;2;AdjLand;No;13/08/1988;House;ELO;Gravel;A;3.3;2.3;2;2.48
P02016;Chrompet;796;134;1;1;2;AdjLand;Yes;03/01/1975;Commercial;AllPub;No Access;RL;3.5;4.6;4.7;4.3
P03758;Chrompet;1212;106;2;1;4;Family;Yes;18/01/1998;House;AllPub;Paved;RH;3.2;3;3.9;3.33
P07967;KK Nagar;2442;71;4;2;6;AbNormal;No;11/06/1997;Others;NoSeWa;Gravel;RH;3.8;5;3;3.84
P09996;Velachery;1869;36;3;2;5;AdjLand;No;29/04/1960;House;ELO;Paved;C;3.9;2.6;4.6;3.53
P06246;KK Nagar;1399;46;2;1;4;Normal Sale;No;06/10/1985;House;NoSeWa;Gravel;RM;3.3;3.6;4.2;3.75
P05083;Karapakkam;1003;92;1;1;3;AdjLand;No;11/05/1979;Commercial;NoSewr ;No Access;A;2.8;3.6;3.3;3.24
P05962;Chrompet;833;164;1;1;3;Normal Sale;No;27/11/1980;House;ELO;Gravel;RM;3.6;2;4.8;3.32
P02241;Adyar;1150;170;1;1;3;Family;No;11/11/1999;Commercial;ELO;No Access;I;2.1;4.8;2.5;
P08320;Adyar;672;18;1;1;2;AbNormal;No;19/02/1989;Others;NoSeWa;No Access;A;4.5;4.7;4.4;4.49
P00967;T Nagar;1528;163;1;1;4;AbNormal;Yes;07/04/1987;Others;NoSewr ;Gravel;RM;2.4;3.5;3.9;3.35
P05444;Karapakkam;1170;78;1;1;3;AbNormal;Yes;04/03/1969;House;NoSeWa;Paved;C;2;2.7;3.9;2.97
P08917;T Nagar;1823;0;2;1;5;Partial;Yes;27/06/1981;Commercial;ELO;No Access;RM;2.6;3.4;2.5;2.755
P05725;Karapakkam;833;154;1;1;2;Normal Sale;No;14/01/1967;Others;AllPub;No Access;A;2.2;4.5;4.4;3.77
P05156;Velachery;1686;78;2;1;4;Normal Sale;Yes;26/04/1978;House;NoSewr ;No Access;RM;2.3;2.1;5;3.02
P06019;Karapakkam;1615;106;2;2;4;AdjLand;Yes;15/11/1986;Commercial;ELO;Paved;I;2.6;4.9;3.3;3.57
P04103;Anna Nagar;1914;121;2;1;5;Family;Yes;11/11/1992;House;AllPub;Paved;RM;3.3;2.2;4.2;3.385
P06915;Velachery;1907;86;3;2;5;Normal Sale;No;25/04/1987;Commercial;ELO;Paved;C;2.4;4;4.3;3.69
P02825;KK Nagar;1329;44;1;1;3;AbNormal;Yes;23/07/1992;Others;AllPub;Paved;RL;4.4;4.3;2.4;3.57
P08677;Anna Nagar;1591;23;1;1;4;Normal Sale;No;04/10/1969;House;AllPub;Paved;RM;3.8;3;4.4;3.84
P00747;TNagar;1856;76;2;1;5;Normal Sale;No;30/08/1972;Commercial;NoSewr ;Paved;RH;3.8;3.7;3.5;3.64
P03165;Karapakkam;908;46;1;1;3;AbNormal;No;25/05/1967;House;AllPub;Paved;C;2.2;3.2;4.1;3.26
P08184;Anna Nagar;1970;50;2;1;5;Family;Yes;05/04/1981;Others;NoSeWa;No Access;RM;3.9;3.4;4.8;4.135
P00057;Chrompet;755;8;1;1;2;Normal Sale;No;17/01/1982;Commercial;ELO;Gravel;RM;3.8;4.4;2.7;3.71
P07132;Velachery;1911;28;3;2;5;Normal Sale;No;13/02/2002;House;NoSeWa;Paved;A;2.5;4.8;2;3.39
P07993;Anna Nagar;1692;93;1;1;4;Normal Sale;Yes;07/06/1971;Others;AllPub;No Access;RM;2.6;3.7;2.4;2.795
P06513;Anna Nagar;1611;32;1;1;4;Family;Yes;10/08/1981;Others;NoSewr ;Gravel;RM;4.8;2.9;2.2;3.285
P00182;Anna Nagar;1672;132;1;1;4;AbNormal;Yes;18/10/1997;Others;NoSewr ;Paved;RM;3.6;3.7;3.1;3.425
P04112;Adyar;721;145;1;1;2;Partial;No;06/11/2000;Others;NoSeWa;Paved;RL;3.4;2.8;4.6;3.88
P01235;Anna Nagar;1911;150;2;1;5;Partial;Yes;10/10/1996;Others;ELO;No Access;RH;4.9;2.7;2;3.19
P02907;Adyar;1197;53;1;1;3;AdjLand;Yes;10/07/1973;House;NoSeWa;Paved;RL;2.7;3.3;3.4;3.17
P01676;Karapakam;615;61;1;1;2;Family;No;03/03/1993;Commercial;AllPub;Paved;RL;3.8;5;2.6;3.68
P09601;Velachery;1760;42;2;1;4;Partial;No;11/08/1951;Others;ELO;Paved;I;2.1;2.7;2.6;2.52
P03736;Adyar;927;72;1;1;3;Family;No;28/01/1978;Commercial;NoSeWa;Gravel;RM;4.7;5;2.6;3.71
P04543;KK Nagar;2283;164;4;2;6;Family;Yes;15/08/1998;House;NoSeWa;Paved;RH;4.3;2.4;3.2;3.29
P06732;Anna Nagar;1804;32;2;1;5;AbNormal;Yes;21/06/1967;House;NoSeWa;Gravel;RL;2.9;5;4.8;4.185
P06367;Karapakkam;516;115;1;1;2;Normal Sale;No;15/09/1965;Others;NoSewr ;Gravel;RM;3.6;4;2.5;3.28
P07925;KK Nagar;1668;14;2;1;4;AbNormal;No;26/06/1997;House;AllPub;Gravel;RL;4.7;4.9;3;4.08
P05796;KK Nagar;1956;29;3;2;5;Normal Sale;Yes;23/12/2003;House;NoSewr ;Paved;RL;2.9;2.7;3.7;3.16
P09572;Velachery;1505;89;2;1;4;Family;Yes;07/10/1957;Commercial;AllPub;Paved;C;3;4.1;3.8;3.74
P06291;Velachery;1598;88;2;1;4;Family;Yes;23/09/1992;Commercial;ELO;No Access;A;2;3.9;3.9;3.43
P01360;Chrompet;863;120;1;1;3;Partial;No;14/07/1990;Others;NoSewr ;Paved;RH;4.2;4.9;5;4.72
P01066;Anna Nagar;1556;181;;1;4;Partiall;No;23/01/1986;House;NoSewr ;No Access;RM;4.8;2.7;2;3.155
P01626;Karapakkam;1376;181;2;2;4;AdjLand;No;12/03/1993;House;NoSewr ;No Access;RM;2.4;2.8;5;3.56
P09371;Chrompet;1245;134;2;1;4;Family;Yes;11/01/1968;Commercial;ELO;No Access;RL;4.2;3.1;2.4;3.22
P02744;Adyar;999;191;1;1;3;AdjLand;No;16/08/1973;Commercial;NoSeWa;No Access;RL;3.8;3.1;4.7;4.11
P05354;Karapakkam;951;142;1;1;3;Family;Yes;18/03/1982;Others;NoSewr ;Gravel;C;3.9;3.8;2.7;3.39
P07004;KK Nagar;2136;149;3;2;5;Partial;Yes;01/04/1995;Others;NoSewr ;Paved;RM;2.3;3.8;4.8;3.75
P00542;Anna Nagar;1734;86;1;1;4;AbNormal;No;27/01/1990;House;ELO;No Access;RH;3.1;4.9;2.3;3.23
P02925;Karapakkam;909;141;1;1;3;AbNormal;Yes;02/07/1995;Commercial;AllPub;Paved;RM;3.6;4.9;3;3.75
P00903;Anna Nagar;1585;135;1;1;4;AbNormal;No;24/05/1969;Commercial;ELO;Paved;RM;2.4;4;2;2.64
P03609;Chrompet;1115;144;1;1;3;Family;Yes;26/02/1975;House;ELO;Paved;RL;2.9;3.1;4.1;3.34
P01173;T Nagar;1973;80;2;1;5;Normal Sale;Yes;21/11/1984;House;AllPub;No Access;RL;2.9;4;3.4;3.4
P02811;Velachery;1528;143;2;1;4;AdjLand;No;24/07/1997;Others;AllPub;No Access;C;3.4;3.6;4.7;3.88
P09699;Velachery;1833;164;3;2;5;AdjLand;Yes;11/02/1966;Commercial;NoSeWa;Paved;RH;2.6;3.2;4.5;3.44
P00402;T Nagar;1649;82;1;1;4;AbNormal;No;18/05/1994;House;NoSewr ;Gravel;RM;4.7;4.6;3;3.91
P08147;KK Nagar;1546;129;2;1;4;AbNormal;No;16/04/1981;Commercial;AllPub;Gravel;RM;2.5;4.3;2.8;3.16
P07667;Chrompet;768;130;1;1;2;AdjLand;Yes;10/09/1997;Others;NoSewr ;Gravel;RM;3.8;4.4;5;4.4
P06840;KK Nagar;2417;196;4;2;6;Partial;No;16/05/1983;House;NoSeWa;Gravel;RL;4.9;2.2;2.1;2.97
P01465;Adyar;1103;193;1;1;3;Partial;Yes;25/04/1988;Commercial;ELO;Gravel;I;2.6;5;2.8;3.18
P06724;Velachery;1614;67;2;1;4;Partial;No;18/06/1986;Commercial;AllPub;No Access;A;4.1;3.8;2.2;3.4
P05592;KK Nagar;2496;88;4;2;6;AbNormal;Yes;05/02/1982;Commercial;AllPub;Gravel;RL;3.6;4.2;3.9;3.9
P01109;Chrompet;704;169;1;1;2;AbNormal;No;24/12/1994;Others;NoSeWa;Paved;RL;4.7;2.1;2.3;2.94
P00864;Anna Nagar;1808;130;2;1;5;Normal Sale;Yes;18/06/1979;Others;ELO;No Access;RL;2.9;2.2;3.1;2.805
P01045;Anna Nagar;1823;13;2;1;5;Normal Sale;Yes;09/02/1971;Commercial;NoSewr ;Paved;RL;3.9;4;4.1;4.005
P02751;Karapakkam;1396;139;2;2;4;AbNormal;No;15/08/1970;House;ELO;Gravel;C;4.9;4.7;3;4.08
P03576;Anna Nagar;1956;64;2;1;5;AdjLand;No;03/03/1983;Others;NoSewr ;Paved;RL;2.1;3.1;4.1;3.15
P06656;Chrompet;760;24;1;1;2;AbNormal;Yes;03/07/2005;House;ELO;Paved;RL;3.7;3.8;4;3.83
P08947;Velachery;1642;87;2;1;4;AdjLand;No;15/06/1979;Commercial;NoSeWa;Gravel;RM;3.1;3.4;3.1;3.24
P04605;Karapakkam;1366;83;2;2;4;Family;Yes;06/08/1988;Commercial;NoSeWa;Paved;RL;5;3.9;2.5;3.67
P00724;Anna Nagar;1929;44;2;1;5;Family;Yes;20/09/1983;Commercial;ELO;Paved;RM;3;3.4;3.1;3.14
P07732;KK Nagar;1910;166;3;2;5;Normal Sale;Yes;20/08/1999;House;NoSewr ;Gravel;RM;3.7;2.9;4.2;3.66
P00257;T Nagar;1995;151;2;1;5;Partial;No;27/08/1990;House;ELO;No Access;RM;4.5;2.6;4.2;3.89
P01703;Karapakkam;1111;91;1;1;3;Partial;Yes;05/03/1971;House;AllPub;Gravel;RM;3.4;2.6;3.3;3.12
P08968;Anna Nagar;1969;102;2;1;5;AdjLand;Yes;06/06/1986;Others;ELO;Gravel;RH;4.3;3;2;3.055
P01554;Chrompet;908;168;1;1;3;Partial;No;28/03/1977;Others;NoSewr ;Paved;RH;4.4;3.1;3.7;3.67
P09136;Adyar;964;183;1;1;3;Family;No;01/04/1973;Others;AllPub;No Access;C;3;3.4;3;3.08
P02721;Adyar;777;196;1;1;2;Partial;Yes;17/08/1986;Others;NoSeWa;No Access;RM;4.7;4.5;2;3.31
P00216;Anna Nagar;1525;114;1;1;4;Family;Yes;21/09/1983;Commercial;AllPub;Gravel;RM;4.7;4.7;5;4.82
P00939;Chrompet;857;77;1;1;3;Family;No;20/04/2005;Commercial;AllPub;Gravel;RM;3.5;4.9;2.1;3.64
P05754;Karapakkam;1399;137;2;2;4;Family;No;07/01/1970;Commercial;AllPub;No Access;RM;4.2;4;3;3.66
P04410;KK Nagar;1368;6;2;1;4;AdjLand;Yes;14/09/1982;Others;AllPub;Gravel;RL;3.3;4;4.4;3.95
P05984;Karapakkam;1132;88;1;1;3;AbNormal;Yes;19/11/1993;House;NoSeWa;No Access;RL;4.1;2.4;3.6;3.39
P02973;KK Nagar;1339;26;2;1;4;AbNormal;Yes;22/06/2005;Others;NoSeWa;Gravel;RM;3.5;3;3.8;3.47
P03561;Adyar;902;175;1;1;3;AbNormal;No;01/03/2006;Commercial;NoSeWa;Gravel;C;2.8;4.2;2.8;3.08
P08859;Chrompet;944;38;1;1;3;Partial;Yes;29/07/1983;Others;AllPub;Paved;RH;4.7;5;3.6;4.49
P10015;Velachery;1925;38;3;2;5;Family;No;19/03/1959;House;ELO;Gravel;C;4.8;4.7;4;4.52
P00880;T Nagar;1577;111;1;1;4;AbNormal;No;02/06/2003;House;NoSeWa;Gravel;RL;4.1;4.5;2;3.255
P04378;Chrompet;1078;31;1;1;3;Family;Yes;21/09/1979;Others;ELO;No Access;RH;4.7;3.3;2.6;3.51
P06486;T Nagar;1869;143;2;1;5;AbNormal;Yes;19/08/1970;Commercial;NoSewr ;No Access;RM;3.6;2.5;3.6;3.325
P05613;Karapakkam;1650;151;2;2;4;AdjLand;No;26/01/2005;House;ELO;No Access;RH;2.2;2.5;4.7;3.29
P06264;KK Nagar;2494;161;4;2;6;Normal Sale;Yes;30/09/1995;Others;NoSewr ;Paved;RH;4;3.3;4.1;3.83
P00100;T Nagar;1756;12;1;1;4;Partial;No;20/12/1983;House;NoSeWa;Gravel;RL;5;5;3.5;4.325
P09469;Chrompet;1138;50;1;1;3;AbNormal;Yes;29/11/1979;Others;NoSewr ;Gravel;RH;2.2;4.1;2.8;3.14
P05917;Karapakkam;1652;107;2;2;4;AdjLand;No;02/12/2001;Others;NoSeWa;Paved;A;3.3;2;2.9;2.75
P09804;Velachery;1954;24;3;2;5;Family;No;13/06/1973;House;AllPub;Gravel;I;4.7;2.3;4.9;3.68
P06628;T Nagar;1908;123;2;1;5;AdjLand;No;13/07/2001;Others;AllPub;Gravel;RL;2.5;2.8;2.2;2.44
P04665;Chrompet;1074;100;1;1;3;AbNormal;No;27/07/1994;Others;NoSewr ;Gravel;RL;3;3.4;4.9;3.73
P07416;KK Nagar;2241;123;4;2;6;Family;Yes;22/11/1998;House;AllPub;Paved;RH;4.1;4.8;4.4;4.43
P01622;T Nagar;1766;11;1;1;4;AbNormal;Yes;18/03/1975;Commercial;ELO;No Access;RM;4.9;3.7;4.5;4.42
P04218;KK Nagar;2065;29;3;2;5;AdjLand;Yes;18/10/1992;House;AllPub;Gravel;RM;4.2;3.7;2.7;3.45
P01272;Chrompet;812;21;1;1;3;Normal Sale;No;15/09/2002;House;AllPub;No Access;RL;4.1;5;3.3;4.22
P04895;KK Nagar;1858;75;3;2;5;AbNormal;Yes;10/06/2005;Commercial;NoSeWa;Paved;RL;2.7;2.1;4.4;3.2
P06073;Karapakkam;681;198;1;1;2;Family;Yes;08/11/1966;House;AllPub;No Access;RM;4.4;3.1;2.6;3.29
P00756;Chrompet;1146;92;1;1;3;AdjLand;Yes;24/08/1986;Others;NoSeWa;Paved;RH;4.3;3.3;3.4;3.63
P02521;Karapakkam;1275;123;1;1;3;AbNormal;Yes;24/09/1983;House;AllPub;Paved;A;2.2;4.1;3.5;3.29
P02979;Karapakkam;829;53;1;1;2;Partial;Yes;29/06/1969;House;ELO;No Access;C;4.2;4;2.5;3.46
P09720;Velachery;1951;200;3;2;5;AbNormal;No;11/12/1967;Others;AllPub;Paved;RL;4.6;2.9;3.6;3.54
P03081;KK Nagar;1479;192;2;1;4;Partial;No;05/06/1984;Others;AllPub;Paved;RH;2.8;4.1;4.1;3.71
P08755;Adyar;949;6;1;1;3;Family;Yes;08/09/1979;Others;NoSewr ;No Access;A;3.6;4;4.6;4.18
P03724;Chrompet;802;157;1;1;3;Normal Sale;Yes;26/01/2001;House;AllPub;Paved;RL;3.9;2.7;2.2;2.91
P05888;Velachery;1600;7;2;1;4;Normal Sale;No;09/12/1988;Others;NoSewr ;No Access;RM;2.1;2.8;3.4;2.81
P04052;Anna Nagar;1984;191;2;1;5;Partial;No;25/11/1976;Commercial;NoSeWa;Gravel;RH;4.2;4.3;2;3.345
P00019;Chrompet;1143;105;1;1;3;Normal Sale;Yes;11/02/2006;Others;NoSeWa;No Access;RH;5;5;2.5;4.25
P01568;Karapakkam;1069;177;1;1;3;AbNormal;No;27/03/1971;Others;AllPub;No Access;C;2.1;4.5;4.7;3.86
P05965;Chrompet;849;120;1;1;3;AbNormal;No;23/11/1996;Commercial;AllPub;No Access;RM;2.4;3.6;2.1;2.79
P08790;Anna Nagar;1949;2;2;1;5;Normal Sale;No;22/08/1988;Others;NoSewr ;Gravel;RM;3.9;4.3;3.8;3.96
P08430;Velachery;1650;73;2;1;4;Normal Sale;Yes;06/01/2000;Others;ELO;Paved;C;4.4;4.3;4.7;4.45
P02750;Karapakkam;1078;90;1;1;3;AbNormal;No;08/08/1998;Others;AllPub;Paved;RL;3;2.3;2.1;2.43
P00297;Chrompet;714;105;1;1;2;Normal Sale;Yes;18/07/2008;Others;NoSeWa;Gravel;RM;3.7;4.7;3.4;4.01
P04217;T Nagar;1512;163;1;1;4;Partial;Yes;16/10/2003;Commercial;AllPub;Paved;RL;2.1;4.4;4;3.53
P01084;T Nagar;1609;105;1;1;4;Normal Sale;No;19/01/1968;Commercial;ELO;Paved;RL;4;3.6;3.2;3.54
P02982;KK Nagar;1779;54;3;2;5;AdjLand;Yes;21/06/2001;Commercial;AllPub;Gravel;RM;2.8;5;2.1;3.18
P01525;Karapakkam;500;64;1;1;2;Family;Yes;01/04/1983;Others;ELO;Gravel;RL;3.4;2.6;2;2.6
P01070;Chrompet;772;159;1;1;2;AbNormal;Yes;16/01/2008;Others;NoSewr ;Paved;RH;4.7;4.7;2.9;4.16
P07947;Chrompet;1125;103;1;1;3;Partial;Yes;20/06/1986;House;NoSeWa;No Access;RM;3.2;4.2;3.3;3.63
P03690;Karapakkam;1397;118;2;2;4;Partial;Yes;11/02/1963;Commercial;NoSewr ;Paved;C;4.9;4.4;4.5;4.59
P08169;Chrompet;755;67;1;1;2;Partial;No;06/04/1994;House;AllPub;No Access;RM;3.2;2.3;5;3.38
P03054;Chrompet;1157;27;1;1;3;AdjLand;No;06/06/2005;Commercial;AllPub;No Access;RH;4.3;3.8;2.5;3.56
P06786;T Nagar;1921;134;2;1;5;Family;Yes;01/06/1981;Commercial;NoSeWa;Paved;RH;3.3;3.4;5;4.09
P03173;KK Nagar;1869;20;3;2;5;Family;No;17/05/1995;Others;AllPub;Gravel;RL;3.9;2.4;3.2;3.17
P00051;Chrompet;1119;13;1;1;3;Partial;Yes;22/01/1986;Commercial;ELO;No Access;RM;2.4;3.3;4.5;3.39
P04493;KK Nagar;1941;34;3;2;5;AdjLand;No;26/08/1990;Others;NoSeWa;Gravel;RM;3.7;3.7;3.2;3.5
P09230;Chrompet;1212;40;2;1;4;AbNormal;Yes;21/02/1996;Commercial;AllPub;No Access;RL;2.7;3.8;2;2.93
P03669;Chrompet;1108;30;1;1;3;AbNormal;No;08/02/1994;Commercial;NoSeWa;Gravel;RH;2.1;4.4;2.3;3.08
P06517;Anna Nagar;1843;158;2;1;5;AdjLand;No;06/08/1994;House;ELO;No Access;RL;3.9;3.4;3.3;3.535
P07250;Velachery;1634;50;2;1;4;Partial;No;19/01/1957;House;ELO;Gravel;A;4.5;3;4.2;3.74
P02450;Velachery;1607;45;2;1;4;AdjLand;Yes;03/10/2004;Commercial;NoSeWa;No Access;A;3.4;2.6;3.9;3.19
